,index,tmean0,tmean1,tmean2,tmean3,tmax0,tmax1,tmax2,tmax3,tmin0,tmin1,tmin2,tdi0,tdi1,tdi2,tdi3,tdi4,tdi5,mean_rainfall0,rh0,rh1,rh2,rh3,rh4,rh5,nino0,nino1,nino2,nino3,nino4,nino5,act0,bre0,dengue,month,eip,year,population,dengue_per
20,2008-02-29,25.21224130433181,24.138709652808405,23.97370966019169,24.457166639963784,30.20637929850611,29.643225946734027,28.62790323072864,29.0498335202535,20.219655102696912,18.634516100729662,19.31999998707925,9.9867241958092,11.008709846004365,9.30790324364939,9.187166865666708,7.96612899534164,7.224500020345052,37.12911928489804,71.447845,67.72367,73.09959,79.608444,88.32223,90.52494,25.08,24.86,25.01,25.17,25.32,25.61,0,0,36.0,2,13.904177159662071,2008,34068138,0.10567058287717397
21,2008-03-31,25.198548224664503,25.21224130433181,24.138709652808405,23.97370966019169,29.82225799560547,30.20637929850611,29.643225946734027,28.62790323072864,20.574999855410667,20.219655102696912,18.634516100729662,9.2472581401948,9.9867241958092,11.008709846004365,9.30790324364939,9.187166865666708,7.96612899534164,212.92885112598535,76.746994,71.447845,67.72367,73.09959,79.608444,88.32223,26.07,25.08,24.86,25.01,25.17,25.32,0,0,9.0,3,14.448984567826647,2008,34068138,0.026417645719293493
22,2008-04-30,26.63733320236206,25.198548224664503,25.21224130433181,24.138709652808405,31.382166385650635,29.82225799560547,30.20637929850611,29.643225946734027,21.89333333969116,20.574999855410667,20.219655102696912,9.488833045959472,9.2472581401948,9.9867241958092,11.008709846004365,9.30790324364939,9.187166865666708,91.52830775141716,83.45985,76.746994,71.447845,67.72367,73.09959,79.608444,26.83,26.07,25.08,24.86,25.01,25.17,0,0,15.0,4,14.260687713172784,2008,34068138,0.044029409532155825
23,2008-05-31,26.84645163628363,26.63733320236206,25.198548224664503,25.21224130433181,31.46290317658455,31.382166385650635,29.82225799560547,30.20637929850611,22.229838678913733,21.89333333969116,20.574999855410667,9.23306449767082,9.488833045959472,9.2472581401948,9.9867241958092,11.008709846004365,9.30790324364939,78.67135785192251,84.953094,83.45985,76.746994,71.447845,67.72367,73.09959,27.09,26.83,26.07,25.08,24.86,25.01,0,0,15.0,5,13.094088571238181,2008,34068138,0.044029409532155825
24,2008-06-30,25.18500000635783,26.84645163628363,26.63733320236206,25.198548224664503,29.033166694641118,31.46290317658455,31.382166385650635,29.82225799560547,21.33700002034505,22.229838678913733,21.89333333969116,7.696166674296061,9.23306449767082,9.488833045959472,9.2472581401948,9.9867241958092,11.008709846004365,434.9541700281203,89.24465,84.953094,83.45985,76.746994,71.447845,67.72367,27.04,27.09,26.83,26.07,25.08,24.86,8,0,34.0,6,13.108350555265623,2008,34068138,0.09979999493955319
25,2008-07-31,24.65322580645161,25.18500000635783,26.84645163628363,26.63733320236206,28.2814516252087,29.033166694641118,31.46290317658455,31.382166385650635,21.025967905598304,21.33700002034505,22.229838678913733,7.255483719610399,7.696166674296061,9.23306449767082,9.488833045959472,9.2472581401948,9.9867241958092,519.8028238256276,90.010216,89.24465,84.953094,83.45985,76.746994,71.447845,26.99,27.04,27.09,26.83,26.07,25.08,7,18,80.0,7,11.691546606067375,2008,34068138,0.23482351750483105
26,2008-08-31,24.63403231097806,24.65322580645161,25.18500000635783,26.84645163628363,28.262258037444084,28.2814516252087,29.033166694641118,31.46290317658455,21.005483934956214,21.025967905598304,21.33700002034505,7.256774102487872,7.255483719610399,7.696166674296061,9.23306449767082,9.488833045959472,9.2472581401948,378.87879877090455,88.95111,90.010216,89.24465,84.953094,83.45985,76.746994,26.72,26.99,27.04,27.09,26.83,26.07,9,12,75.0,8,11.498782415688611,2008,34068138,0.2201470476607791
27,2008-09-30,25.075499979654943,24.63403231097806,24.65322580645161,25.18500000635783,29.301666673024496,28.262258037444084,28.2814516252087,29.033166694641118,20.849999936421717,21.005483934956214,21.025967905598304,8.451666736602784,7.256774102487872,7.255483719610399,7.696166674296061,9.23306449767082,9.488833045959472,316.72297684744,86.943665,88.95111,90.010216,89.24465,84.953094,83.45985,26.47,26.72,26.99,27.04,27.09,26.83,15,10,64.0,9,13.12247694775062,2008,34068138,0.18785881400386484
28,2008-10-31,24.98290326518397,25.075499979654943,24.63403231097806,24.65322580645161,29.02112902364423,29.301666673024496,28.262258037444084,28.2814516252087,20.946774298144923,20.849999936421717,21.005483934956214,8.074354725499306,8.451666736602784,7.256774102487872,7.255483719610399,7.696166674296061,9.23306449767082,317.35058934137226,86.63803,86.943665,88.95111,90.010216,89.24465,84.953094,26.37,26.47,26.72,26.99,27.04,27.09,0,0,63.0,10,13.689137105952673,2008,34068138,0.18492352003505447
29,2008-11-30,24.62816664377848,24.98290326518397,25.075499979654943,24.63403231097806,28.91549994150797,29.02112902364423,29.301666673024496,28.262258037444084,20.341500027974448,20.946774298144923,20.849999936421717,8.573999913533529,8.074354725499306,8.451666736602784,7.256774102487872,7.255483719610399,7.696166674296061,65.22705369263888,83.96862,86.63803,86.943665,88.95111,90.010216,89.24465,26.25,26.37,26.47,26.72,26.99,27.04,0,0,81.0,11,13.71004107048851,2008,34068138,0.23775881147364145
